Thermal calculator data file
Last updated date: 2016-08-11, 23:02:28

Thermal model: Gringarten equation
Base data
Parameter	Value	Unit	
Specific heat of rock	800	J/kg¡ÆC	
Specific heat of fluid	4178	J/kg¡ÆC	
Rock density	2628	kg/m^3	
Thermal conductivity of rock, k	3.018	W/m¡ÆC	
Initial rock temperature	180	¡ÆC	
Injection fluid temperature	60	¡ÆC	

Variables
Variable	Value	Unit	
Width of fracture	600	m	
Mass flow rate	40	kg/s	
Number of fractures	5		
Fracture spacing	60	m	
Distance from injection	800	m	
Time	30	years	

Calculation results
Outlet fluid temperature	161.67	¡ÆC	
Rock temperature distribution
Z	X	Temperature	
m	m	¡ÆC	
760.00	0.90	158.95	
768.00	0.90	159.67	
776.00	0.90	160.36	
784.00	0.90	161.04	
792.00	0.90	161.70	
800.00	0.90	162.34	
0.00	1.20	60.23	
8.00	1.20	60.46	
16.00	1.20	60.72	
24.00	1.20	61.01	
32.00	1.20	61.34	
40.00	1.20	61.71	
48.00	1.20	62.11	
56.00	1.20	62.55	
64.00	1.20	63.02	
72.00	1.20	63.53	
80.00	1.20	64.08	
88.00	1.20	64.67	
96.00	1.20	65.29	
104.00	1.20	65.95	
112.00	1.20	66.64	
120.00	1.20	67.37	
128.00	1.20	68.14	
136.00	1.20	68.94	
144.00	1.20	69.78	
152.00	1.20	70.65	
160.00	1.20	71.56	
168.00	1.20	72.49	
176.00	1.20	73.46	
184.00	1.20	74.46	
192.00	1.20	75.49	
200.00	1.20	76.55	
208.00	1.20	77.64	
216.00	1.20	78.75	
224.00	1.20	79.89	
232.00	1.20	81.05	
240.00	1.20	82.24	
248.00	1.20	83.45	
256.00	1.20	84.68	
264.00	1.20	85.93	
272.00	1.20	87.20	
280.00	1.20	88.49	
288.00	1.20	89.79	
296.00	1.20	91.11	
304.00	1.20	92.44	
312.00	1.20	93.78	
320.00	1.20	95.13	
328.00	1.20	96.50	
336.00	1.20	97.87	
344.00	1.20	99.25	
352.00	1.20	100.63	
360.00	1.20	102.03	
368.00	1.20	103.42	
376.00	1.20	104.82	
384.00	1.20	106.21	
392.00	1.20	107.61	
400.00	1.20	109.01	
408.00	1.20	110.41	
416.00	1.20	111.80	
424.00	1.20	113.19	
432.00	1.20	114.57	
440.00	1.20	115.95	
448.00	1.20	117.32	
456.00	1.20	118.68	
464.00	1.20	120.03	
472.00	1.20	121.38	
480.00	1.20	122.71	
488.00	1.20	124.04	
496.00	1.20	125.35	
504.00	1.20	126.65	
512.00	1.20	127.93	
520.00	1.20	129.20	
528.00	1.20	130.46	
536.00	1.20	131.70	
544.00	1.20	132.93	
552.00	1.20	134.14	
560.00	1.20	135.34	
568.00	1.20	136.52	
576.00	1.20	137.68	
584.00	1.20	138.82	
592.00	1.20	139.95	
600.00	1.20	141.05	
608.00	1.20	142.14	
616.00	1.20	143.21	
624.00	1.20	144.27	
632.00	1.20	145.30	
640.00	1.20	146.31	
648.00	1.20	147.31	
656.00	1.20	148.28	
664.00	1.20	149.24	
672.00	1.20	150.17	
680.00	1.20	151.09	
688.00	1.20	151.99	
696.00	1.20	152.87	
704.00	1.20	153.72	
712.00	1.20	154.56	
720.00	1.20	155.38	
728.00	1.20	156.18	
736.00	1.20	156.97	
744.00	1.20	157.73	
752.00	1.20	158.47	
760.00	1.20	159.20	
768.00	1.20	159.90	
776.00	1.20	160.59	
784.00	1.20	161.26	
792.00	1.20	161.92	
800.00	1.20	162.55	
0.00	1.50	60.29	
8.00	1.50	60.53	
16.00	1.50	60.80	
24.00	1.50	61.10	
32.00	1.50	61.45	
40.00	1.50	61.82	
48.00	1.50	62.24	
56.00	1.50	62.69	
64.00	1.50	63.17	
72.00	1.50	63.70	
80.00	1.50	64.26	
88.00	1.50	64.85	
96.00	1.50	65.49	
104.00	1.50	66.16	
112.00	1.50	66.87	
120.00	1.50	67.61	
128.00	1.50	68.39	
136.00	1.50	69.21	
144.00	1.50	70.05	
152.00	1.50	70.94	
160.00	1.50	71.85	
168.00	1.50	72.80	
176.00	1.50	73.78	
184.00	1.50	74.79	
192.00	1.50	75.83	
200.00	1.50	76.90	
208.00	1.50	77.99	
216.00	1.50	79.12	
224.00	1.50	80.26	
232.00	1.50	81.44	
240.00	1.50	82.63	
248.00	1.50	83.85	
256.00	1.50	85.09	
264.00	1.50	86.34	
272.00	1.50	87.62	
280.00	1.50	88.91	
288.00	1.50	90.22	
296.00	1.50	91.54	
304.00	1.50	92.88	
312.00	1.50	94.22	
320.00	1.50	95.58	
328.00	1.50	96.95	
336.00	1.50	98.32	
344.00	1.50	99.71	
352.00	1.50	101.09	
360.00	1.50	102.49	
368.00	1.50	103.88	
376.00	1.50	105.28	
384.00	1.50	106.68	
392.00	1.50	108.08	
